product_id,product_name,category,price_usd
1,Pro Analytics Hub,Analytics,156.64
2,Enterprise Analytics Suite,Analytics,227.4
3,Cloud Analytics Platform,Analytics,233.95
4,AI Analytics Engine,Analytics,182.22
5,Smart Analytics Manager,Analytics,162.83
6,Ultra Analytics Studio,Analytics,143.61
7,Core Analytics System,Analytics,212.77
8,Prime Analytics Tool,Analytics,177.62
9,Elite Analytics Assistant,Analytics,121.93
10,Max Analytics Dashboard,Analytics,182.22
11,Pro Marketing Hub,Marketing,140.86
12,Enterprise Marketing Suite,Marketing,121.57
13,Cloud Marketing Platform,Marketing,31.55
14,AI Marketing Engine,Marketing,197.84
15,Smart Marketing Manager,Marketing,157.69
16,Ultra Marketing Studio,Marketing,70.39
17,Core Marketing System,Marketing,158.31
18,Prime Marketing Tool,Marketing,159.51
19,Elite Marketing Assistant,Marketing,131.14
20,Max Marketing Dashboard,Marketing,135.18
21,Pro Productivity Hub,Productivity,39.96
22,Enterprise Productivity Suite,Productivity,67.37
23,Cloud Productivity Platform,Productivity,95.45
24,AI Productivity Engine,Productivity,29.09
25,Smart Productivity Manager,Productivity,146.15
26,Ultra Productivity Studio,Productivity,32.24
27,Core Productivity System,Productivity,71.46
28,Prime Productivity Tool,Productivity,137.76
29,Elite Productivity Assistant,Productivity,20.98
30,Max Productivity Dashboard,Productivity,107.82
31,Pro Finance Hub,Finance,120.56
32,Enterprise Finance Suite,Finance,189.62
33,Cloud Finance Platform,Finance,178.42
34,AI Finance Engine,Finance,164.36
35,Smart Finance Manager,Finance,220.72
36,Ultra Finance Studio,Finance,40.05
37,Core Finance System,Finance,69.67
38,Prime Finance Tool,Finance,204.22
39,Elite Finance Assistant,Finance,172.35
40,Max Finance Dashboard,Finance,233.4
